Material;NOBB nummer;Material                          ;Priser 01.04.2017;Enhet;;;
146503;51773846;LÅSEBÅND 100MM Ø350 SORT;511;ST;;;
105944;27809334;LÅSEBÅND 30MM Ø100 PPL;121;ST;;;
105947;27809359;LÅSEBÅND 30MM Ø130 PPL;121;ST;;;
105949;27809367;LÅSEBÅND 30MM Ø150 PPL;142;ST;;;
105951;27809383;LÅSEBÅND 30MM Ø180 PPL;174;ST;;;
105952;27809391;LÅSEBÅND 30MM Ø200 PPL;174;ST;;;
105954;48843862;LÅSEBÅND 30MM Ø250 PPL;199;ST;;;
105955;48843915;LÅSEBÅND 30MM Ø300 PPL;211;ST;;;
119582;;LÅSEBÅND 400/0,4/316/MA/PPL06;263;ST;;;
109844;48843858;LÅSEBÅND 57MM Ø200 HVIT;317;ST;;;
109839;48034465;LÅSEBÅND 57MM Ø200 SORT;105;ST;;;
104423;;LÅSEBÅND 57MM Ø250 BLANK;180;ST;;;
109874;48843896;LÅSEBÅND 57MM Ø250 HVIT;144;ST;;;
109887;48034473;LÅSEBÅND 57MM Ø250 SORT;144;ST;;;
124060;48843953;LÅSEBÅND 57MM Ø300 BØRSTET;276;ST;;;
109975;48843934;LÅSEBÅND 57MM Ø300 GRÅ;438;ST;;;
109969;48843945;LÅSEBÅND 57MM Ø300 HVIT;189;ST;;;
109964;48157703;LÅSEBÅND 57MM Ø300 SORT;189;ST;;;
126361;;LÅSEBÅND BRED Ø15 ISOKERN;54;ST;;;
126494;;LÅSEBÅND BRED Ø17,5 ISOKERN;54;ST;;;
135206;;LÅSEBÅND SMAL Ø15 ISOKERN;42;ST;;;
127673;;LÅSEBÅND Ø20 ISOKERN;54;ST;;;
149833;51951972;MURMATERIELL KOMPLETT INNSATS;1650;ST;Ingen endring;;
130759;;MØRTELPOSE SCHIEDEL ISOKERN;6;ST;;;
137009;25417908;NØKKEL SOT-FEIELUKE;73;ST;;;
149840;51952040;OMRAMMING JUPITER INKL BRANNMUR;5053;ST;Ingen endring;;
149839;51952036;OMRAMMING MARS INKL BRANNMUR;6074;ST;Ingen endring;;
149834;51951983;OMRAMMING MERKUR INKL BRANNMUR;4842;ST;Ingen endring;;
149836;51952002;OMRAMMING SATURN INKL BRANNMUR;6331;ST;Ingen endring;;
149835;51951998;OMRAMMING TELLUS INKL BRANNMUR;6713;ST;Ingen endring;;
149837;51952017;OMRAMMING URANUS INKL BRANNMUR;6331;ST;Ingen endring;;
149838;51952021;OMRAMMING VENUS INKL BRANNMUR;5550;ST;Ingen endring;;
143935;49890286;OPPSTARTSVIFTE SORT;5466;ST;;;
143936;49890294;OPPSTARTVIFTE BLANK;5466;ST;;;
147804;;OVERBESLAG 0-10GR BLANK Ø250 PMS50;3169;ST;;;
147805;;OVERBESLAG 0-10GR BLANK Ø300 PMV50;3427;ST;;;
135347;47992397;OVERBESLAG 0-10GR SORT Ø250 PMS50;2536;ST;;;
135348;45643806;OVERBESLAG 0-10GR SORT Ø300 PMV50;2742;ST;;;
101228;;OVERBESLAG 0GR 300 BLANK ICS25;1773;ST;;;
101230;;OVERBESLAG 0GR 400 BLANK ICS25;2264;ST;;;
101234;;OVERBESLAG 0GR 600 BLANK ICS25;3349;ST;;;
147800;;OVERBESLAG 11-32G BLANK Ø250 PMS50;3198;ST;;;
147802;;OVERBESLAG 11-32G BLANK Ø300 PMV50;3581;ST;;;
135351;42179056;OVERBESLAG 11-32G SORT Ø250 PMS50;2558;ST;;;
135349;45643973;OVERBESLAG 11-32G SORT Ø300 PMV50;2865;ST;;;
101256;;OVERBESLAG 26-35GR BLY ICS25 Ø350 BLANK;3690;ST;;;
101387;;OVERBESLAG 26-35GR BLY ICS25 Ø450 BLANK;4762;ST;;;
101388;;OVERBESLAG 26-35GR BLY ICS25 Ø500 BLANK;5756;ST;;;
147801;;OVERBESLAG 33-45G BLANK Ø250 PMS50;3313;ST;;;
147803;;OVERBESLAG 33-45G BLANK Ø300 PMV50;3696;ST;;;
135352;42179075;OVERBESLAG 33-45G SORT Ø250 PMS50;2650;ST;;;
135350;45643984;OVERBESLAG 33-45G SORT Ø300 PMV50;2958;ST;;;
101395;;OVERBESLAG 36-45GR BLY ICS25 Ø450 BLANK;4250;ST;;;
101262;;OVERBESLAG BLY 36-45GR Ø450 BLANK;3690;ST;;;
101396;;OVERBESLAG BLY 36-45GR Ø600 BLANK;5756;ST;;;
138118;49593944;OVERBESLAG Ø350 0-10GR SORT;3338;ST;;;
138119;49593952;OVERBESLAG Ø350 11-32GR SORT;3572;ST;;;
138120;49593963;OVERBESLAG Ø350 33-45GR SORT;3735;ST;;;
138121;;OVERBESLAG Ø400 0-10GR SORT;2962;ST;;;
138122;;OVERBESLAG Ø400 11-32GR SORT;4096;ST;;;
138123;;OVERBESLAG Ø400 33-45GR SORT;3165;ST;;;
109768;45644423;OVERG 80-106 TILLUFTK BLANK Ø150 PMV;261;ST;;;
109770;45644442;OVERG 80-106 TILLUFTK GRÅ Ø150 PMV;209;ST;;;
109769;45644457;OVERG 80-106 TILLUFTK HVIT Ø150 PMV;209;ST;;;
109767;45644438;OVERG 80-106 TILLUFTK SORT Ø150 PMV;209;ST;;;
109825;45644741;OVERG 80-65 TILLUFTK BLANK Ø150 PMV;364;ST;;;
109820;45644760;OVERG 80-65 TILLUFTK GRÅ Ø150 PMV;292;ST;;;
109821;;OVERG 80-65 TILLUFTK HVIT Ø150 PMV;292;ST;;;
109823;45644756;OVERG 80-65 TILLUFTK SORT Ø150 PMV;292;ST;;;
109763;;OVERG 80-82 TILLUFTK BLANK Ø150 PMV;261;ST;;;
109765;45644404;OVERG 80-82 TILLUFTK GRÅ Ø150 PMV;209;ST;;;
109764;45644412;OVERG 80-82 TILLUFTK HVIT Ø150 PMV;209;ST;;;
109766;45644385;OVERG 80-82 TILLUFTK SORT Ø150 PMV;209;ST;;;
110000;27809417;OVERGANG 100-125 PPL;444;ST;;;
101787;27809458;OVERGANG 100-150 PPL;444;ST;;;
135123;42169294;OVERGANG 100MM-80MM;164;ST;;;
109875;27805274;OVERGANG 125-150 SORT Ø150;568;ST;;;
101796;42250653;OVERGANG 130-150 PPL;500;ST;;;
110126;27813559;OVERGANG 150-125 PPL;500;ST;;;
110269;27812783;OVERGANG 180-125 PPL;500;ST;;;
110351;27813567;OVERGANG 180-150 PPL;500;ST;;;
110177;27886688;OVERGANG 180-200 PPL;518;ST;;;
110422;27809441;OVERGANG 200-125 PPL;500;ST;;;
110486;27809466;OVERGANG 200-150 PPL;500;ST;;;
141898;49590985;OVERGANG 25/50 Ø200 BLANK PMV50;2017;ST;;;
141896;49590966;OVERGANG 25/50 Ø200 GRÅ PMV50;1615;ST;;;
141897;49590974;OVERGANG 25/50 Ø200 HVIT PMV50;1615;ST;;;
141895;49590940;OVERGANG 25/50 Ø200 SORT PMV50;1615;ST;;;
110973;;OVERGANG 250-150 PPL;580;ST;;;
101775;;OVERGANG 250-180 PPL;580;ST;;;
137762;;OVERGANG 250-200 PPL;594;ST;;;
114319;44678385;OVERGANG 2550 130/230/0,6/444/SORT/PMS50;995;ST;;;
135121;45571014;OVERGANG 80MM-63MM;164;ST;;;
112326;45644317;OVERGANG BLANK Ø150 PMV25/50;1552;ST;;;
106905;;OVERGANG BUNN FLEX Ø100 PPL;237;ST;;;
106908;44679615;OVERGANG BUNN FLEX Ø130 PPL;237;ST;;;
106910;42250944;OVERGANG BUNN FLEX Ø150 PPL;237;ST;;;
106912;42250982;OVERGANG BUNN FLEX Ø180 PPL;237;ST;;;
106913;42251016;OVERGANG BUNN FLEX Ø200 PPL;325;ST;;;
106915;;OVERGANG BUNN FLEX Ø250 PPL;325;ST;;;
106916;;OVERGANG BUNN FLEX Ø300 PPL;325;ST;;;
114322;44678423;OVERGANG GRÅ Ø150 PMS25/PMS50;1021;ST;;;
112300;45644336;OVERGANG GRÅ Ø150 PMV25/50;1242;ST;;;
115377;44678457;OVERGANG GRÅ Ø200 PMS25/PMS50;1316;ST;;;
101196;;OVERGANG HANN PPL/ICS25 Ø250 BLANK;730;ST;;;
101182;;OVERGANG HUNN PPL/ICS25 Ø250 BLANK;730;ST;;;
114324;44678438;OVERGANG HVIT Ø150 PMS25/PMS50;1021;ST;;;
112301;50662776;OVERGANG HVIT Ø150 PMV25/50;1242;ST;;;
115381;44678461;OVERGANG HVIT Ø200 PMS25/PMS50;1316;ST;;;
101201;;OVERGANG ICS25 TIL PPL Ø500 BLANK;2765;ST;;;
101199;;OVERGANG ICS25-PPL Ø400 BLANK HUNN;2137;ST;;;
101200;;OVERGANG ICS25-PPL Ø450 BLANK (HUNN);2650;ST;;;
105358;;OVERGANG ICS50 TIL PPL Ø500 BLANK;2850;ST;;;
101198;;OVERGANG ICS-PPL 350 BLANK/ICS25;1029;ST;;;
101193;;OVERGANG ICS-PPL Ø150 BLANK ICS25;765;ST;;;
114485;;OVERGANG ISOLIGHT PMS25 SORT Ø150;1842;ST;;;
116170;47522118;OVERGANG PM25/PM50 SORT Ø250 PM25;1579;ST;;;
105352;;OVERGANG PPL TIL ICS50 Ø500 BLANK;2850;ST;;;
112881;;OVERGANG PPL/ICS25 Ø350 BLANK;1029;ST;;;
113163;;OVERGANG PPL-ICS25 Ø400 BLANK HANN;1979;ST;;;
114400;;OVERGANG PPL-ICS25 Ø500 (HANN);2137;ST;;;
114320;44678412;OVERGANG SORT Ø150 PMS25/PMS50;1021;ST;;;
112299;45644321;OVERGANG SORT Ø150 PMV25/50;1242;ST;;;
115374;44678442;OVERGANG SORT Ø200 PMS25/PMS50;1316;ST;;;
106892;;OVERGANG TOPP FLEX Ø100 PPL;237;ST;;;
106894;;OVERGANG TOPP FLEX Ø120 PPL;237;ST;;;
106895;44686755;OVERGANG TOPP FLEX Ø130 PPL;237;ST;;;
106897;42250785;OVERGANG TOPP FLEX Ø150 PPL;237;ST;;;
106899;42250842;OVERGANG TOPP FLEX Ø180 PPL;237;ST;;;
106900;42250914;OVERGANG TOPP FLEX Ø200 PPL;325;ST;;;
106902;;OVERGANG TOPP FLEX Ø250 PPL;325;ST;;;
106903;;OVERGANG TOPP FLEX Ø300 PPL;325;ST;;;
149140;51914622;OVERGANG Ø100 REKT- RUND BLANK PMV25;525;ST;;;
900007783;;OVERLIGGER TIL HEKLA+KINGFIRE;1033;ST;;;
137619;49557037;OVN CLASSICO WOODFOOD;21950;ST;;;
137630;49557041;OVN GRANDE WOODFOOD;27091;ST;;;
137611;49541898;OVN PICCOLO WOODFOOD;14933;ST;;;
120431;;PAKNING FOR SKJØTER SILIKON ICS25 Ø350;332;ST;;;
120428;;PAKNING FOR SKJØTER SILIKON ICS25 Ø500;375;ST;;;
120427;;PAKNING FOR SKJØTER Ø550;355;ST;;;
120429;;PAKNING SILIKON 450;291;ST;;;
149871;51952316;PEIS KOMPLETT SORT H JUPITER;47750;ST;Ingen endring;;
149870;51952301;PEIS KOMPLETT SORT H MARS;34598;ST;Ingen endring;;
149865;51952252;PEIS KOMPLETT SORT H MERKUR;31277;ST;Ingen endring;;
149867;51952278;PEIS KOMPLETT SORT H SATURN;38335;ST;Ingen endring;;
149866;51952263;PEIS KOMPLETT SORT H TELLUS;35237;ST;Ingen endring;;
149868;51952282;PEIS KOMPLETT SORT H URANUS;39728;ST;Ingen endring;;
149869;51952297;PEIS KOMPLETT SORT H VENUS;31985;ST;Ingen endring;;
149878;51952384;PEIS KOMPLETT SORT V  JUPITER;47750;ST;Ingen endring;;
149877;51952373;PEIS KOMPLETT SORT V  MARS;34598;ST;Ingen endring;;
149872;51952320;PEIS KOMPLETT SORT V  MERKUR;31277;ST;Ingen endring;;
149874;51952346;PEIS KOMPLETT SORT V  SATURN;38335;ST;Ingen endring;;
149873;51952335;PEIS KOMPLETT SORT V  TELLUS;35237;ST;Ingen endring;;
149875;51952354;PEIS KOMPLETT SORT V  URANUS;39728;ST;Ingen endring;;
149876;51952365;PEIS KOMPLETT SORT V  VENUS;31985;ST;Ingen endring;;
135246;;"PEIS MAGNUM 30""";8306;ST;;;
129371;;"PEIS MAGNUM 36""";8653;ST;;;
129568;;"PEIS MAGNUM 42""";9228;ST;;;
129767;;"PEIS MAGNUM 48""";9805;ST;;;
136991;47979922;PEISOVN CURVE 100G-HS;20844;ST;;;
136992;47979918;PEISOVN CURVE 100S-HS;15096;ST;;;
136989;47979956;PEISOVN CURVE 300G-HS;25786;ST;;;
136990;47979937;PEISOVN CURVE 300S-HS;20645;ST;;;
136994;47468574;PEISOVN RADIUS-100;16930;ST;;;
136993;47979892;PEISOVN RADIUS-300;27600;ST;;;
135292;25417890;PIPEHATT;918;ST;;;
136932;27812809;PIPEHATT 110X160 0VAL;542;ST;;;
114353;;PIPEHATT 130/-/0,6/316/SORT/PM50;1364;ST;;;
115199;;PIPEHATT 150/-/0,5/316/BLANK/ICS50;1919;ST;;;
120854;45641052;PIPEHATT 150/316/6L/PPL06;708;ST;;;
120856;46384202;PIPEHATT 180/316/6L/PPL06;948;ST;;;
116497;;Pipehatt 200/-/0,5/316/BL/PM25;1694;ST;;;
116879;;PIPEHATT 200/-/0,5/316/BLANK/ICS50;2621;ST;;;
117906;;PIPEHATT 250/-/-/444/GY/PM50;2515;ST;;;
101220;;PIPEHATT 350/-/0,5/316/BLANK/ICS25;1602;ST;;;
121287;50662984;PIPEHATT 350/-/0,6/316/SORT/PM50;2874;ST;;;
117337;45644703;PIPEHATT BLANK Ø15 PMV50;2985;ST;;;
135103;;PIPEHATT DM80;1197;ST;;;
115196;44584241;PIPEHATT GRÅ Ø150 PM50;1474;ST;;;
117333;45644722;PIPEHATT GRÅ Ø150 PMV50;2384;ST;;;
116877;48843972;PIPEHATT GRÅ Ø200 PM50;2097;ST;;;
121128;48843998;PIPEHATT GRÅ Ø250 PM25;2515;ST;;;
115195;48843964;PIPEHATT HVIT Ø150 PM50;1474;ST;;;
117339;45644737;PIPEHATT HVIT Ø150 PMV50;2384;ST;;;
116876;48843983;PIPEHATT HVIT Ø200 PM50;2097;ST;;;
135155;25675588;PIPEHATT INNFESTNING;99;ST;;;
101221;;PIPEHATT KONISK Ø400 BLANK ICS25;2314;ST;;;
101223;;PIPEHATT KONISK Ø500 BLANK ICS25;2724;ST;;;
117870;;PIPEHATT M/HATT-LUKKET ICS25 Ø450 BLANK;2679;ST;;;
115200;42179041;PIPEHATT SORT Ø150 PM50;1474;ST;;;
117332;45644718;PIPEHATT SORT Ø150 PMV50;2384;ST;;;
116878;47522156;PIPEHATT SORT Ø200 PM50;2097;ST;;;
117699;47521982;PIPEHATT SORT Ø250 PM25;2033;ST;;;
117908;47522160;PIPEHATT SORT Ø250 PM50;2515;ST;;;
120849;;PIPEHATT Ø100 PPL;656;ST;;;
120852;;PIPEHATT Ø130 PPL;675;ST;;;
141958;49591500;PIPEHATT Ø200 BLANK PMV50;3562;ST;;;
141956;49591481;PIPEHATT Ø200 GRÅ PMV50;3098;ST;;;
141957;49591496;PIPEHATT Ø200 HVIT PMV50;3098;ST;;;
120857;;PIPEHATT Ø200 PPL;1165;ST;;;
141955;49591477;PIPEHATT Ø200 SORT PMV50;3098;ST;;;
116792;;PIPEHATT Ø300 BLANK ICS25;1424;ST;;;
121244;;PIPEHATT Ø300 SORT PM50;2764;ST;;;
118461;;PIPEHATT Ø350 BLANK ICS25;2382;ST;;;
136984;23092919;PIPEPLATTFORM MINI SORT;3258;ST;;;
136946;;PIPETOPP 39X39 PMS/PMV;912;ST;;;
137008;;PIPETOPP Ø16 46X46CM SV;1399;ST;;;
137007;;PIPETOPP Ø20 51X51CM SV;1522;ST;;;
142605;49556984;PIZZA SETT WOODFOOD;3754;ST;;;
111851;;PMS50 15ｰ BEND 316 Ø150 BLACK *;1683;ST;;;
149832;;POSER 15x15CM ARTO ;15;ST;Ingen endring;;
111296;44257322;PYNTEDEKSEL H:150MM GRÅ Ø200;665;ST;;;
111894;47930135;PYNTEDEKSEL H:150MM GRÅ Ø250;764;ST;;;
111298;;PYNTEDEKSEL H:150MM HVIT Ø200;665;ST;;;
111885;;PYNTEDEKSEL H:150MM HVIT Ø250;764;ST;;;
112016;;PYNTEDEKSEL H:150MM HVIT Ø300;1052;ST;;;
111297;43934872;PYNTEDEKSEL H:150MM SORT Ø200;665;ST;;;
111877;45973438;PYNTEDEKSEL H:150MM SORT Ø250;764;ST;;;
112014;;PYNTEDEKSEL H:150MM SORT Ø300;1052;ST;;;
111631;;PYNTEDEKSEL H:150MM Ø230 SORT;449;ST;;;
112372;46122682;PYNTEDEKSEL H:200MM SORT Ø250;822;ST;;;
112830;47521880;PYNTEDEKSEL H:200MM SORT Ø300;904;ST;;;
119456;46066364;PYNTEDEKSEL H:250MM SORT Ø250;858;ST;;;
147454;51223022;PYNTERING M/FJﾆR Ø125/Ø225 SORT;243;ST;;;
147455;51223037;PYNTERING M/FJﾆR Ø150/Ø260 SORT;243;ST;;;
146436;51016995;PYNTERING SORT Ø125;277;ST;;;
144256;50876798;PYNTERING TODELT Ø150 SORT;219;ST;;;
144292;50876783;PYNTERING Ø150 SORT;207;ST;;;
149860;51953644;RAMME MÅLTILPASSET TILLEGG A-TYPE;1096;ST;Ingen endring;;
121338;47992382;RAMMEFORLENGER 18X18X55CM;650;ST;;;
100440;25417940;RAMMEFORLENGER 18X30X55CM;709;ST;;;
133099;48130842;REGNAVDEKNING 150/-/0,6/316/316/PPL06;367;ST;;;
133100;48130880;REGNAVDEKNING 160/-/0,6/316/316/PPL06;377;ST;;;
133101;48130876;REGNAVDEKNING 200/-/0,6/316/316/PPL06;405;ST;;;
133102;51066184;Regnavdekning 250/-/0,6/316/316/PPL06;445;ST;;;
117350;;REGNHATT Ø350 BLANK ICS25;1898;ST;;;
100974;;REGNKRAVE 250/140/-/304/BLANK;709;ST;;;
111705;;REGNKRAVE 250/220/0,6 BLANK ICS25;409;ST;;;
111362;;REGNKRAVE 350/140/0,6 BLANK ICS25;445;ST;;;
114279;;REGNKRAVE 550/0,6 BLANK ICS25;650;ST;;;
100976;45643814;REGNKRAVE BLANK Ø300;834;ST;;;
100977;48844036;REGNKRAVE BLANK Ø350;936;ST;;;
100980;;REGNKRAVE FOR ICS25 Ø450 BLANK;907;ST;;;
110457;48844017;REGNKRAVE GRÅ Ø250;567;ST;;;
110388;45643833;REGNKRAVE GRÅ Ø300;669;ST;;;
110461;48844040;REGNKRAVE GRÅ Ø350;814;ST;;;
110473;48844021;REGNKRAVE HVIT Ø250;567;ST;;;
110386;45643844;REGNKRAVE HVIT Ø300;669;ST;;;
110467;48844055;REGNKRAVE HVIT Ø350;814;ST;;;
110460;43670393;REGNKRAVE SORT Ø250;567;ST;;;
110391;45643825;REGNKRAVE SORT Ø300;669;ST;;;
110472;47521857;REGNKRAVE SORT Ø350;814;ST;;;
106133;47367460;REGNKRAVE Ø100 PPL;168;ST;;;
106136;47276558;REGNKRAVE Ø130 PPL;182;ST;;;
106138;47276562;REGNKRAVE Ø150 PPL;190;ST;;;
137759;48112120;REGNKRAVE Ø170 PPL;225;ST;;;
106140;47276581;REGNKRAVE Ø180 PPL;209;ST;;;
137760;48112135;REGNKRAVE Ø189-Ø200 PPL;244;ST;;;
137761;48112146;REGNKRAVE Ø210 PPL;262;ST;;;
106142;47276600;REGNKRAVE Ø230 PPL;269;ST;;;
100978;;REGNKRAVE Ø400 BLANK;639;ST;;;
100981;;REGNKRAVE Ø550 BLANK;880;ST;;;
136965;;REGULATOR 15 AMP MANUELL;1731;ST;;;
136953;;REGULATOR 15 AMPEPUS;3961;ST;;;
900006704;;REPARASJONSPUSS HVIT;190;ST;;;
136967;;REPERASJONSBRYTER 3POL16A REPSW2X16;1881;ST;;;
146663;51066426;RØKVENDERPLATE NEDRE RADIUS IG08-061;467;ST;;;
146665;51066332;RØKVENDERPLATE ØVRE RADIUS IG08-071;222;ST;;;
111800;;RØRBEND 130/30/0,6/444/SORT/PMS25;1343;ST;;;
112498;;RØRBEND 130/45/0,6/444/SORT/PMS25;1343;ST;;;
111814;51249800;RØRBEND 150/15/0,5/444/SORT/PMS25;1461;ST;;;
110488;;RØRBEND 150/30/0,6/316/SVART/PS06;270;ST;;;
115095;;RØRBEND 150/30/0,6/444/GRÅ/PMS50;1683;ST;;;
115098;;RØRBEND 150/30/0,6/444/SORT/PMS50;1683;ST;;;
113434;48844195;RØRBEND 15G GRÅ Ø250 PM25;2485;ST;;;
113429;48844206;RØRBEND 15G HVIT Ø250 PM25;2485;ST;;;
111837;;RØRBEND 15G SORT Ø130 PMS50;1343;ST;;;
111813;46384096;RØRBEND 15G SORT Ø150 PMS50;1683;ST;;;
113432;48844214;RØRBEND 15G SORT Ø250 PM25;2485;ST;;;
148426;51557183;RØRBEND 15GR Ø150 SORT PMV25;2043;ST;;;
100733;48844180;RØRBEND 15GR Ø250 BLANK ICS25;2857;ST;;;
117013;;RØRBEND 200/63/0,6/444/SORT/PMS50;2186;ST;;;
114816;48844233;RØRBEND 30G GRÅ Ø250 PM25;2485;ST;;;
114819;48844244;RØRBEND 30G HVIT Ø250 PM25;2485;ST;;;
112151;51249815;RØRBEND 30G SORT Ø150 PMS25;1461;ST;;;
115089;;RØRBEND 30G SORT Ø200 PMS50;2186;ST;;;
114818;48844252;RØRBEND 30G SORT Ø250 PM25;2485;ST;;;
121200;;RØRBEND 30G SORT Ø300 PM50;3296;ST;;;
115076;;RØRBEND 30GR Ø150 SORT PM50;1935;ST;;;
148442;51557198;RØRBEND 30GR Ø150 SORT PMV25;2043;ST;;;
100747;48844225;RØRBEND 30GR Ø250 BLANK ICS25;2857;ST;;;
100763;;RØRBEND 350/45/0,6/316S/BLANK/ICS25;3121;ST;;;
121209;;RØRBEND 350/45/0,6/444/SORT/PM50;3733;ST;;;
114478;;RØRBEND 45G BLANK Ø150 PMV25;2552;ST;;;
116208;48844066;RØRBEND 45G BLANK Ø150 PMV50;2647;ST;;;
124065;48844074;RØRBEND 45G BØRSTET Ø150 PMS50;2356;ST;;;
124066;48844161;RØRBEND 45G BØRSTET Ø200 PMS50;3059;ST;;;
112808;47930381;RØRBEND 45G GRÅ Ø150 PMS25;1461;ST;;;
115720;47930396;RØRBEND 45G GRÅ Ø150 PMS50;1683;ST;;;
114481;47930377;RØRBEND 45G GRÅ Ø150 PMV25;2043;ST;;;
116345;48844085;RØRBEND 45G GRÅ Ø150 PMV50;2302;ST;;;
116604;;RØRBEND 45G GRÅ Ø200 PMS50;2186;ST;;;
115306;48844278;RØRBEND 45G GRÅ Ø250 PM25;2485;ST;;;
112809;48844093;RØRBEND 45G HVIT Ø150 PMS25;1461;ST;;;
115726;;RØRBEND 45G HVIT Ø150 PMS50;1683;ST;;;
114479;45644340;RØRBEND 45G HVIT Ø150 PMV25;2043;ST;;;
116341;48844104;RØRBEND 45G HVIT Ø150 PMV50;2302;ST;;;
116602;48844176;RØRBEND 45G HVIT Ø200 45 PMS50;2186;ST;;;
115302;48844282;RØRBEND 45G HVIT Ø250 PM25;2485;ST;;;
112813;46384062;RØRBEND 45G SORT Ø150 PMS25;1461;ST;;;
115724;45485421;RØRBEND 45G SORT Ø150 PMS50;1683;ST;;;
114480;45860897;RØRBEND 45G SORT Ø150 PMV25;2043;ST;;;
116344;46152006;RØRBEND 45G SORT Ø150 PMV50;2302;ST;;;
114399;47522258;RØRBEND 45G SORT Ø200 PMS25;2075;ST;;;
116597;46465697;RØRBEND 45G SORT Ø200 PMS50;2186;ST;;;
115305;47521978;RØRBEND 45G SORT Ø250 PM25;2485;ST;;;
117315;47522141;RØRBEND 45G SORT Ø250 PM50;2624;ST;;;
121095;;RØRBEND 45G SORT Ø300 PM25;2736;ST;;;
121206;48844297;RØRBEND 45G SORT Ø300 PM50;3296;ST;;;
146435;51016980;RØRBEND 45G SORT Ø80 PMS25;724;ST;;;
112812;;RØRBEND 45GR SORT Ø150 PM25;1720;ST;;;
106371;;RØRBEND 45GR Ø120 PPL;716;ST;;;
100759;;RØRBEND 45GR Ø180 BLANK ICS25;1071;ST;;;
100760;;RØRBEND 45GR Ø200 BLANK ICS25;2572;ST;;;
100761;48844263;RØRBEND 45GR Ø250 BLANK ICS25;2857;ST;;;
100762;;RØRBEND 45GR Ø300 BLANK ICS25;3143;ST;;;
100766;;RØRBEND 45GR Ø500 BLANK ICS25;3501;ST;;;
114562;48844112;RØRBEND 63G BLANK Ø150 PMS25;1683;ST;;;
114564;48844123;RØRBEND 63G GRÅ Ø150 PMS25;1461;ST;;;
116072;48844138;RØRBEND 63G GRÅ Ø150 PMS50;1683;ST;;;
114557;48844142;RØRBEND 63G HVIT Ø150 PMS25;1461;ST;;;
116070;48844157;RØRBEND 63G HVIT Ø150 PMS50;1683;ST;;;
116066;46381175;RØRBEND 63G SORT Ø150 PMS50;1683;ST;;;
114500;;RØRBEND 90G M/LUKE SORT Ø150 PMS25;1949;ST;;;
117782;52047145;RØRBEND 90G M/LUKE SORT Ø150 PMS50;2296;ST;;;
100815;;RØRBEND 90GR 200/0,5 BLANK ICS25;1077;ST;;;
100817;;RØRBEND 90GR 300/0,6 BLANK ICS25;1479;ST;;;
101034;;RØRBEND 90GR LUKE BLANK Ø250 ICS25;3134;ST;;;
113568;;RØRBEND 90GR M/LUKE BLANK ICS50;4155;ST;;;
117783;48844301;RØRBEND 90GR M/LUKE GRÅ Ø150 PMS50;2296;ST;;;
118424;48844320;RØRBEND 90GR M/LUKE GRÅ Ø200 PMS50;2506;ST;;;
116841;48844354;RØRBEND 90GR M/LUKE GRÅ Ø250 PM25;2725;ST;;;
113572;48844365;RØRBEND 90GR M/LUKE GRÅ Ø250 PM50;3059;ST;;;
117780;48844316;RØRBEND 90GR M/LUKE HVIT Ø150 PMS50;2296;ST;;;
118430;48844335;RØRBEND 90GR M/LUKE HVIT Ø200 PMS50;2506;ST;;;
116845;48844373;RØRBEND 90GR M/LUKE HVIT Ø250 PM25;2725;ST;;;
113577;48844384;RØRBEND 90GR M/LUKE HVIT Ø250 PM50;3059;ST;;;
100847;;RØRBEND 90GR M/LUKE ICS25 Ø450 BLANK;6141;ST;;;
147688;;RØRBEND 90GR M/LUKE SORT Ø150 PM25;2545;ST;;;
118423;48844346;RØRBEND 90GR M/LUKE SORT Ø200 PMS50;2506;ST;;;
116843;48844392;RØRBEND 90GR M/LUKE SORT Ø250 PM25;2725;ST;;;
113575;48844403;RØRBEND 90GR M/LUKE SORT Ø250 PM50;2774;ST;;;
109587;;RØRBEND 90GR M/LUKE Ø180 BLANK ICS25;1887;ST;;;
100846;;RØRBEND 90GR M/LUKE Ø400 BLANK ICS25;6114;ST;;;
100848;;RØRBEND 90GR M/LUKE Ø500 BLANK ICS25;7270;ST;;;
142371;51185237;RØRBEND 90GR Ø80 SORT PMV25;176;ST;;;
106356;;RØRBEND JUSTERBART 0-45G Ø100 PPL;383;ST;;;
